EPOCH 2 G_LOSS: tf.Tensor(4.5506277, shape=(), dtype=float32)
EPOCH 2 D_LOSS: tf.Tensor(0.61109287, shape=(), dtype=float32)
EPOCH 3 FID: tf.Tensor(341.3485, shape=(), dtype=float32)
EPOCH 3 G_LOSS: tf.Tensor(4.955091, shape=(), dtype=float32)
EPOCH 3 D_LOSS: tf.Tensor(0.51346946, shape=(), dtype=float32)
EPOCH 4 FID: tf.Tensor(365.71542, shape=(), dtype=float32)
EPOCH 4 G_LOSS: tf.Tensor(5.6323047, shape=(), dtype=float32)
EPOCH 4 D_LOSS: tf.Tensor(0.5781968, shape=(), dtype=float32)
EPOCH 5 FID: tf.Tensor(314.1898, shape=(), dtype=float32)
EPOCH 5 G_LOSS: tf.Tensor(5.722113, shape=(), dtype=float32)
EPOCH 5 D_LOSS: tf.Tensor(0.59002274, shape=(), dtype=float32)
EPOCH 6 FID: tf.Tensor(342.28262, shape=(), dtype=float32)
EPOCH 6 G_LOSS: tf.Tensor(3.4450397, shape=(), dtype=float32)
EPOCH 6 D_LOSS: tf.Tensor(0.7391295, shape=(), dtype=float32)
EPOCH 7 FID: tf.Tensor(383.79333, shape=(), dtype=float32)
EPOCH 7 G_LOSS: tf.Tensor(5.598351, shape=(), dtype=float32)
EPOCH 7 D_LOSS: tf.Tensor(0.58469623, shape=(), dtype=float32)
EPOCH 8 FID: tf.Tensor(323.27112, shape=(), dtype=float32)
EPOCH 8 G_LOSS: tf.Tensor(3.9798472, shape=(), dtype=float32)
EPOCH 8 D_LOSS: tf.Tensor(0.6042398, shape=(), dtype=float32)
EPOCH 9 FID: tf.Tensor(349.7029, shape=(), dtype=float32)
EPOCH 9 G_LOSS: tf.Tensor(4.775104, shape=(), dtype=float32)
EPOCH 9 D_LOSS: tf.Tensor(0.6502425, shape=(), dtype=float32)
EPOCH 10 FID: tf.Tensor(375.1914, shape=(), dtype=float32)
EPOCH 10 G_LOSS: tf.Tensor(3.812403, shape=(), dtype=float32)
EPOCH 10 D_LOSS: tf.Tensor(0.55222756, shape=(), dtype=float32)
